msa,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,year,id
12060,3112//,G,D,0,D,0,D,0,7,2,0,0,1,0,3,0,1,0,0,0,0,0,2007,1256
12060,31121/,B,D,0,D,0,D,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2007,1260
12060,311211,B,D,0,D,0,D,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2007,1268
12060,31122/,E,D,0,D,0,D,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,2007,1279
12060,311225,E,D,0,D,0,D,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,2007,1294
12060,31123/,F,D,0,D,0,D,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2007,1299
12060,311230,F,D,0,D,0,D,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2007,1307
12060,3113//,,G,104,G,606,G,2608,15,5,6,3,1,0,0,0,0,0,0,0,0,0,2007,1312
12060,31132/,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,1326
12060,311320,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,1331
12060,31133/,,G,77,G,408,G,1733,12,4,5,2,1,0,0,0,0,0,0,0,0,0,2007,1336
12060,311330,,G,77,G,408,G,1733,12,4,5,2,1,0,0,0,0,0,0,0,0,0,2007,1341
12060,31134/,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2007,1350
12060,311340,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2007,1358
12060,3114//,,H,442,G,3807,G,16987,6,2,1,0,1,0,1,1,0,0,0,0,0,0,2007,1375
12060,31141/,C,D,0,D,0,D,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,2007,1377
12060,311412,C,D,0,D,0,D,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,2007,1386
12060,31142/,E,D,0,D,0,D,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2007,1400
12060,311422,E,D,0,D,0,D,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2007,1411
12060,3115//,F,D,0,D,0,D,0,11,3,1,3,0,0,4,0,0,0,0,0,0,0,2007,1417
12060,31151/,F,D,0,D,0,D,0,9,2,1,3,0,0,3,0,0,0,0,0,0,0,2007,1425
12060,311511,E,D,0,D,0,D,0,4,1,1,0,0,0,2,0,0,0,0,0,0,0,2007,1435
12060,311512,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,1437
12060,311513,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,1440
12060,311514,C,D,0,D,0,D,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2007,1450
12060,31152/,C,D,0,D,0,D,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2007,1457
12060,311520,C,D,0,D,0,D,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2007,1465
12060,3116//,,H,7233,H,50872,H,224478,40,11,2,7,4,2,4,3,6,1,1,0,0,0,2007,1479
12060,31161/,,H,7233,H,50872,H,224478,40,11,2,7,4,2,4,3,6,1,1,0,0,0,2007,1487
12060,311611,,H,59,H,378,H,1664,11,7,0,4,0,0,0,0,0,0,0,0,0,0,2007,1495
12060,311612,,H,1411,H,13551,H,59059,14,2,1,3,3,0,2,3,0,0,0,0,0,0,2007,1500
12060,311613,C,D,0,D,0,D,0,4,0,0,0,1,2,1,0,0,0,0,0,0,0,2007,1506
12060,311615,,H,5515,H,34032,H,151952,11,2,1,0,0,0,1,0,6,1,1,0,0,0,2007,1515
12060,3117//,A,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,1520
12060,31171/,A,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,1528
12060,311711,A,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,1539
12060,3118//,,H,6311,H,56980,H,231128,106,37,17,12,13,7,13,5,2,0,0,0,0,0,2007,1550
12060,31181/,,H,4548,H,38740,H,160957,89,36,13,11,10,5,10,3,1,0,0,0,0,0,2007,1554
12060,311811,,G,462,G,2016,G,8907,48,20,12,10,5,1,0,0,0,0,0,0,0,0,2007,1560
12060,311812,,H,3179,H,27230,H,111161,34,15,1,1,4,4,6,2,1,0,0,0,0,0,2007,1575
12060,311813,F,D,0,D,0,D,0,7,1,0,0,1,0,4,1,0,0,0,0,0,0,2007,1576
12060,31182/,,G,1038,H,13707,G,55322,11,0,4,1,2,1,1,1,1,0,0,0,0,0,2007,1584
12060,311821,E,D,0,D,0,D,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0,2007,1595
12060,311822,F,D,0,D,0,D,0,6,0,1,0,2,1,1,1,0,0,0,0,0,0,2007,1602
12060,311823,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,1605
12060,31183/,,G,725,H,4533,H,14849,6,1,0,0,1,1,2,1,0,0,0,0,0,0,2007,1613
12060,311830,,G,725,H,4533,H,14849,6,1,0,0,1,1,2,1,0,0,0,0,0,0,2007,1621
12060,3119//,,G,2457,G,24378,G,98723,35,5,6,5,3,7,6,3,0,0,0,0,0,0,2007,1634
12060,31191/,C,D,0,D,0,D,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,2007,1642
12060,311911,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2007,1645
12060,311919,B,D,0,D,0,D,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2007,1647
12060,31192/,B,D,0,D,0,D,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2007,1656
12060,311920,B,D,0,D,0,D,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2007,1664
12060,31193/,E,D,0,D,0,D,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,2007,1677
12060,311930,E,D,0,D,0,D,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,2007,1685
12060,31194/,,G,1117,G,11136,G,46055,11,2,1,1,0,3,2,2,0,0,0,0,0,0,2007,1691
12060,311941,,G,800,G,8542,H,33076,5,1,0,0,0,2,0,2,0,0,0,0,0,0,2007,1697
12060,311942,,G,317,G,2594,G,12979,6,1,1,1,0,1,2,0,0,0,0,0,0,0,2007,1710
12060,31199/,,G,936,H,8415,H,32097,16,3,3,3,2,2,2,1,0,0,0,0,0,0,2007,1714
12060,311991,,G,535,G,3820,G,14881,8,2,1,2,0,1,1,1,0,0,0,0,0,0,2007,1723
12060,311999,,H,401,H,4595,H,17216,8,1,2,1,2,1,1,0,0,0,0,0,0,0,2007,1732
12060,312///,,H,2537,H,32520,H,137106,37,12,8,4,4,1,6,1,1,0,0,0,0,0,2007,1742
12060,3121//,,H,2411,H,29079,H,123345,35,11,8,4,4,1,5,1,1,0,0,0,0,0,2007,1750
12060,31211/,,H,1485,H,17672,H,74688,22,4,6,3,2,1,5,1,0,0,0,0,0,0,2007,1758
12060,312111,,H,1199,H,14575,H,64425,10,2,1,0,1,1,4,1,0,0,0,0,0,0,2007,1764
12060,312112,C,S,0,S,0,H,7037,4,0,2,1,0,0,1,0,0,0,0,0,0,0,2007,1772
12060,312113,C,S,0,S,0,H,3226,8,2,3,2,1,0,0,0,0,0,0,0,0,0,2007,1778
12060,31212/,F,D,0,D,0,D,0,5,2,1,0,1,0,0,0,1,0,0,0,0,0,2007,1786
12060,312120,F,D,0,D,0,D,0,5,2,1,0,1,0,0,0,1,0,0,0,0,0,2007,1794
12060,31213/,,H,28,G,227,G,1094,7,5,1,1,0,0,0,0,0,0,0,0,0,0,2007,1806
12060,312130,,H,28,G,227,G,1094,7,5,1,1,0,0,0,0,0,0,0,0,0,0,2007,1814
12060,31214/,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,1818
12060,312140,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,1822
12060,3122//,C,D,0,D,0,D,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2007,1823
12060,31222/,C,D,0,D,0,D,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2007,1833
12060,312229,C,D,0,D,0,D,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2007,1838
12060,313///,,H,2445,H,19300,H,79374,53,16,6,8,9,5,7,2,0,0,0,0,0,0,2007,1856
12060,3131//,,H,434,H,2316,H,9241,8,3,1,1,1,1,0,1,0,0,0,0,0,0,2007,1863
12060,31311/,,H,434,H,2316,H,9241,8,3,1,1,1,1,0,1,0,0,0,0,0,0,2007,1871
12060,313111,E,D,0,D,0,D,0,4,2,0,0,0,1,0,1,0,0,0,0,0,0,2007,1878
12060,313112,B,D,0,D,0,D,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2007,1885
12060,313113,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2007,1886
12060,3132//,,H,1093,H,9416,H,39739,22,7,2,3,3,3,3,1,0,0,0,0,0,0,2007,1897
12060,31321/,,G,636,G,5405,G,22561,9,3,2,0,1,0,2,1,0,0,0,0,0,0,2007,1905
12060,313210,,G,636,G,5405,G,22561,9,3,2,0,1,0,2,1,0,0,0,0,0,0,2007,1913
12060,31322/,,H,100,G,698,G,3077,4,1,0,1,1,1,0,0,0,0,0,0,0,0,2007,1922
12060,313221,B,D,0,D,0,D,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,2007,1926
12060,313222,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2007,1931
12060,31323/,E,D,0,D,0,D,0,5,1,0,0,1,2,1,0,0,0,0,0,0,0,2007,1943
12060,313230,E,D,0,D,0,D,0,5,1,0,0,1,2,1,0,0,0,0,0,0,0,2007,1951
12060,31324/,B,D,0,D,0,D,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,2007,1956
12060,313241,B,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,1967
12060,313249,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2007,1968
12060,3133//,,H,918,H,7568,H,30394,23,6,3,4,5,1,4,0,0,0,0,0,0,0,2007,1980
