year,naics,usa_employment
2013,331000,373506
2013,332000,1318870
2013,333000,992669
2013,334000,847979
2013,335000,324428
2013,336000,1331656
2013,337000,316768
2013,339000,531853
2013,420000,5600671
2013,423000,3211454
2013,424000,2123516
2013,425000,275632
2013,440000,14317503
2013,441000,1681306
2013,442000,418478
2013,443000,405137
2013,444000,1167273
2013,445000,2770608
2013,446000,974173
2013,447000,771303
2013,448000,1690003
2013,451000,532004
2013,452000,2705130
2013,453000,712045
2013,454000,573725
2013,480000,4116706
2013,481000,475680
2013,483000,74319
2013,484000,1261396
2013,485000,463978
2013,486000,49017
2013,487000,25923
2013,488000,635433
2013,492000,520773
2013,493000,711810
2013,510000,3180933
2013,511000,833250
2013,512000,347657
2013,515000,277805
2013,517000,1043420
2013,518000,490666
2013,519000,233154
2013,520000,5771811
2013,521000,21650
2013,522000,2735337
2013,523000,878528
2013,524000,2164409
2013,525000,7371
2013,530000,1928637
2013,531000,1413887
2013,532000,484328
2013,533000,38963
2013,540000,7857422
2013,541000,7857422
2013,550000,3076622
2013,551000,3076622
2013,560000,7789694
2013,561000,7432782
2013,562000,363562
2013,610000,3463431
2013,611000,3463431
2013,620000,17784645
2013,621000,6348566
2013,622000,5656639
2013,623000,3128345
2013,624000,2733135
2013,710000,2055733
2013,711000,458221
2013,712000,140850
2013,713000,1473041
2013,720000,11913720
2013,721000,1853689
2013,722000,10066695
2013,810000,5083850
2013,811000,1141844
2013,812000,1317841
2013,813000,2626828
2013,990000,15007
2014,000000,112937736
2014,110000,123347
2014,113000,35931
2014,114000,7222
2014,115000,85771
2014,210000,525770
2014,211000,102776
2014,212000,148010
2014,213000,280378
2014,220000,607126
2014,221000,607126
2014,230000,5426707
2014,236000,1125284
2014,237000,826315
2014,238000,3483739
2014,310000,10552410
2014,311000,1304263
2014,312000,171462
2014,313000,96386
2014,314000,108750
2014,315000,102621
2014,316000,23171
2014,321000,283266
2014,322000,330845
2014,323000,449410
2014,324000,105637
2014,325000,736732
2014,326000,676740
2014,327000,339583
2014,331000,377277
2014,332000,1341877
2014,333000,991898
2014,334000,817753
2014,335000,332285
2014,336000,1359337
2014,337000,327990
2014,339000,528207
2014,420000,5648574
2014,423000,3237246
2014,424000,2149719
2014,425000,270928
2014,440000,14658285
2014,441000,1753094
2014,442000,420392
2014,443000,404388
2014,444000,1195496
2014,445000,2873679
2014,446000,979369
2014,447000,791174
2014,448000,1715745
2014,451000,553010
2014,452000,2740597
2014,453000,729846
2014,454000,591713
2014,480000,4231079
2014,481000,483898
2014,483000,76916
2014,484000,1289322
2014,485000,461356
2014,486000,51732
2014,487000,26696
2014,488000,650500
2014,492000,536293
2014,493000,748968
2014,510000,3279824
2014,511000,838006
2014,512000,408115
2014,515000,265621
2014,517000,1023317
2014,518000,531365
2014,519000,259119
2014,520000,5796645
2014,521000,22660
2014,522000,2687860
2014,523000,889968
2014,524000,2234313
2014,525000,8848
2014,530000,1977558
2014,531000,1469535
2014,532000,479492
