id,year,naics,msa_total,msa_share,atl_total,atl_share,atl_location_quotient,basic_emp,n_basic_emp,emp_mul
327,2007,321992,22760,0.000,60,0.000,0.135,0,60,
328,2007,321999,30585,0.000,198,0.000,0.331,0,198,
329,2007,322///,403871,0.004,6437,0.003,0.814,0,6437,
330,2007,3221//,116147,0.001,375,0.000,0.165,0,375,
331,2007,32212/,79225,0.001,10,0.000,0.006,0,10,
332,2007,322121,74160,0.001,10,0.000,0.007,0,10,
333,2007,32213/,28139,0.000,375,0.000,0.681,0,375,
334,2007,322130,28139,0.000,375,0.000,0.681,0,375,
335,2007,3222//,292206,0.003,6049,0.003,1.058,6033,16,5.470
336,2007,32221/,164362,0.001,4099,0.002,1.274,4093,6,21.533
337,2007,322211,111600,0.001,2784,0.001,1.275,2781,3,21.556
338,2007,322212,35393,0.000,948,0.000,1.369,948,0,26.941
339,2007,322213,4291,0.000,60,0.000,0.715,0,60,
340,2007,322214,8641,0.000,272,0.000,1.609,272,0,37.833
341,2007,322215,10200,0.000,60,0.000,0.301,0,60,
342,2007,32222/,57566,0.001,776,0.000,0.689,0,776,
343,2007,322221,4355,0.000,175,0.000,2.053,175,0,51.302
344,2007,322222,33750,0.000,594,0.000,0.899,0,594,
345,2007,32223/,32944,0.000,919,0.000,1.426,919,0,29.850
346,2007,322231,9957,0.000,375,0.000,1.925,375,0,48.041
347,2007,322232,18160,0.000,750,0.000,2.110,750,0,52.617
348,2007,322233,4895,0.000,10,0.000,0.104,0,10,
349,2007,32229/,37465,0.000,255,0.000,0.348,0,255,
350,2007,322291,18019,0.000,25,0.000,0.071,0,25,
351,2007,322299,20296,0.000,175,0.000,0.441,0,175,
352,2007,323///,619198,0.005,11432,0.005,0.943,0,11432,
353,2007,3231//,619198,0.005,11432,0.005,0.943,0,11432,
354,2007,32311/,572563,0.005,10371,0.005,0.926,0,10371,
355,2007,323110,303145,0.003,6032,0.003,1.017,6016,16,1.655
356,2007,323111,21397,0.000,373,0.000,0.891,0,373,
357,2007,323112,33214,0.000,617,0.000,0.949,0,617,
358,2007,323113,67742,0.001,1012,0.000,0.763,0,1012,
359,2007,323114,42616,0.000,596,0.000,0.715,0,596,
360,2007,323115,27974,0.000,658,0.000,1.202,658,0,16.806
361,2007,323116,25381,0.000,299,0.000,0.602,0,299,
362,2007,323117,34605,0.000,242,0.000,0.357,0,242,
363,2007,323118,9301,0.000,375,0.000,2.060,375,0,51.464
364,2007,323119,25442,0.000,251,0.000,0.504,0,251,
365,2007,32312/,49321,0.000,1061,0.000,1.099,1061,0,9.034
366,2007,323121,24536,0.000,448,0.000,0.933,0,448,
367,2007,323122,25673,0.000,613,0.000,1.220,613,0,18.044
368,2007,324///,104403,0.001,634,0.000,0.310,0,634,
369,2007,3241//,104403,0.001,634,0.000,0.310,0,634,
370,2007,32411/,65859,0.001,10,0.000,0.008,0,10,
371,2007,324110,65859,0.001,10,0.000,0.008,0,10,
372,2007,32412/,27934,0.000,520,0.000,0.951,0,520,
373,2007,324121,16778,0.000,154,0.000,0.469,0,154,
374,2007,324122,11576,0.000,366,0.000,1.616,366,0,38.107
375,2007,32419/,14488,0.000,175,0.000,0.617,0,175,
376,2007,324191,11153,0.000,92,0.000,0.422,0,92,
377,2007,324199,3661,0.000,60,0.000,0.838,0,60,
378,2007,325///,767417,0.007,7520,0.003,0.501,0,7520,
379,2007,3251//,163600,0.001,750,0.000,0.234,0,750,
380,2007,32511/,8392,0.000,10,0.000,0.061,0,10,
381,2007,325110,8392,0.000,10,0.000,0.061,0,10,
382,2007,32512/,12763,0.000,175,0.000,0.701,0,175,
383,2007,325120,12763,0.000,175,0.000,0.701,0,175,
384,2007,32513/,13198,0.000,175,0.000,0.678,0,175,
385,2007,325131,7628,0.000,175,0.000,1.172,175,0,14.702
386,2007,32518/,48824,0.000,175,0.000,0.183,0,175,
387,2007,325181,6320,0.000,60,0.000,0.485,0,60,
388,2007,325188,41224,0.000,175,0.000,0.217,0,175,
389,2007,32519/,84587,0.001,181,0.000,0.109,0,181,
390,2007,325199,74528,0.001,181,0.000,0.124,0,181,
391,2007,3252//,88799,0.001,941,0.000,0.542,0,941,
392,2007,32521/,68805,0.001,785,0.000,0.583,0,785,
393,2007,325211,61571,0.001,777,0.000,0.645,0,777,
394,2007,325212,8976,0.000,10,0.000,0.057,0,10,
395,2007,32522/,18659,0.000,175,0.000,0.479,0,175,
396,2007,325222,17146,0.000,175,0.000,0.522,0,175,
397,2007,3253//,27661,0.000,574,0.000,1.060,574,0,5.698
398,2007,32531/,17335,0.000,60,0.000,0.177,0,60,
399,2007,325314,9296,0.000,60,0.000,0.330,0,60,
400,2007,32532/,11926,0.000,750,0.000,3.214,750,0,68.883
401,2007,325320,11926,0.000,750,0.000,3.214,750,0,68.883
402,2007,3254//,241701,0.002,727,0.000,0.154,0,727,
403,2007,32541/,241701,0.002,727,0.000,0.154,0,727,
404,2007,325411,30074,0.000,10,0.000,0.017,0,10,
405,2007,325412,172377,0.002,200,0.000,0.059,0,200,
406,2007,325413,30814,0.000,375,0.000,0.622,0,375,
407,2007,325414,30184,0.000,60,0.000,0.102,0,60,
408,2007,3255//,63475,0.001,1180,0.001,0.950,0,1180,
409,2007,32551/,43209,0.000,869,0.000,1.028,869,0,2.699
410,2007,325510,43209,0.000,869,0.000,1.028,869,0,2.699
411,2007,32552/,22302,0.000,311,0.000,0.713,0,311,
412,2007,325520,22302,0.000,311,0.000,0.713,0,311,
413,2007,3256//,106144,0.001,1912,0.001,0.921,0,1912,
414,2007,32561/,48592,0.000,1539,0.001,1.618,1538,1,38.214
415,2007,325611,25692,0.000,800,0.000,1.591,800,0,37.155
416,2007,325612,17743,0.000,750,0.000,2.160,750,0,53.705
417,2007,325613,6858,0.000,175,0.000,1.304,175,0,23.313
418,2007,32562/,58474,0.001,373,0.000,0.326,0,373,
419,2007,325620,58474,0.001,373,0.000,0.326,0,373,
420,2007,3259//,109011,0.001,1514,0.001,0.710,0,1514,
421,2007,32591/,13635,0.000,239,0.000,0.896,0,239,
422,2007,325910,13635,0.000,239,0.000,0.896,0,239,
423,2007,32599/,90261,0.001,1275,0.001,0.722,0,1275,
424,2007,325991,23068,0.000,404,0.000,0.895,0,404,
425,2007,325992,33109,0.000,135,0.000,0.208,0,135,
426,2007,325998,35047,0.000,736,0.000,1.073,736,0,6.817
427,2007,326///,796644,0.007,15536,0.007,0.997,0,15536,
428,2007,3261//,658392,0.006,12647,0.006,0.982,0,12647,
429,2007,32611/,93831,0.001,2449,0.001,1.334,2447,2,25.024
430,2007,326111,28961,0.000,375,0.000,0.662,0,375,
